,carat,depth,table,price,x,y,z,y_val
46902,0.56,62.3,56.0,1814,5.33,5.26,3.3,0
22076,1.33,62.8,60.0,10096,6.87,6.92,4.33,2
38281,0.28,62.7,58.0,487,4.14,4.15,2.6,0
45604,0.61,59.9,57.0,1690,5.55,5.53,3.32,0
33297,0.31,62.1,57.0,462,4.32,4.34,2.69,0
24239,1.9,61.7,55.0,12443,7.9,7.81,4.85,3
23030,0.33,59.8,58.0,631,4.54,4.52,2.71,0
27683,2.0,60.5,59.0,18709,8.09,8.14,4.94,4
8632,1.01,62.3,63.0,4449,6.3,6.23,3.9,1
4083,0.78,62.3,56.0,3531,5.91,5.88,3.67,0
237,0.76,61.8,56.0,2788,5.85,5.87,3.62,0
53912,0.61,61.8,59.0,2753,5.48,5.4,3.36,0
43577,0.41,62.9,59.0,1431,4.76,4.72,2.98,0
33753,0.31,62.0,54.0,840,4.34,4.37,2.7,0
30548,0.31,61.5,56.0,734,4.35,4.36,2.68,0
7609,1.17,62.5,57.0,4259,6.8,6.71,4.22,1
1653,0.78,60.4,57.0,3019,6.02,5.97,3.62,0
42135,0.57,61.9,57.7,1280,5.32,5.34,3.3,0
50754,0.72,61.7,55.0,2298,5.79,5.75,3.56,0
8258,0.92,61.3,58.0,4379,6.19,6.25,3.81,1
24529,1.5,63.0,56.0,12821,7.32,7.26,4.59,3
43640,0.5,63.6,58.0,1433,5.05,5.02,3.2,0
48957,0.7,62.9,56.0,2048,5.64,5.68,3.56,0
50424,0.5,60.0,56.0,2260,5.18,5.21,3.12,0
166,0.8,61.0,57.0,2772,6.01,6.03,3.67,0
32210,0.31,59.7,58.0,788,4.4,4.45,2.64,0
11898,1.0,60.5,60.0,5119,6.38,6.45,3.88,1
9837,1.12,63.1,56.0,4673,6.62,6.59,4.17,1
40313,0.4,60.5,61.0,1125,4.74,4.72,2.86,0
1109,0.8,63.5,55.0,2914,5.86,5.89,3.73,0
5729,0.25,60.7,58.0,575,4.07,4.1,2.48,0
45022,0.54,62.7,57.0,1637,5.23,5.17,3.26,0
32068,0.33,62.4,54.0,780,4.44,4.41,2.76,0
36958,0.28,56.0,64.0,480,4.38,4.41,2.46,0
17579,1.32,60.8,57.0,7079,7.02,7.07,4.28,1
22821,1.38,62.4,58.0,10850,7.14,7.09,4.44,2
10017,0.9,60.6,60.0,4709,6.14,6.27,3.76,1
12370,0.26,60.7,56.0,597,4.13,4.17,2.52,0
23134,1.66,62.3,54.0,11156,7.58,7.61,4.73,3
43269,0.3,60.9,59.0,506,4.36,4.34,2.65,0
1787,0.76,61.4,55.0,3050,5.82,5.9,3.6,0
4973,1.14,60.0,65.0,3735,6.8,6.75,4.06,1
44262,0.52,62.0,55.4,1575,5.16,5.21,3.21,0
52317,0.33,59.9,61.0,550,4.44,4.47,2.67,0
10580,1.01,59.1,61.0,4821,6.46,6.5,3.83,1
16320,1.09,61.3,55.9,6532,6.61,6.65,4.06,1
25093,1.72,63.2,61.0,13622,7.62,7.57,4.8,3
29500,0.32,61.5,55.0,702,4.38,4.43,2.71,0
31887,0.3,61.4,60.0,776,4.33,4.3,2.65,0
31195,0.32,61.9,55.0,756,4.4,4.39,2.72,0
14602,1.24,61.4,58.0,5889,6.94,6.9,4.25,1
9587,0.95,62.8,59.0,4628,6.25,6.21,3.91,1
8194,1.04,61.5,59.0,4368,6.54,6.51,4.01,1
27805,0.3,62.9,55.0,650,4.25,4.27,2.68,0
24866,1.54,60.7,60.0,13284,7.43,7.55,4.55,3
9524,0.9,62.2,57.0,4617,6.17,6.24,3.86,1
32586,0.33,61.4,55.0,802,4.46,4.5,2.75,0
52477,0.77,61.0,57.0,2519,5.91,5.93,3.61,0
16556,1.02,62.7,57.0,6614,6.44,6.47,4.05,1
51358,1.01,61.7,62.0,2364,6.41,6.35,3.93,0
30444,0.29,62.1,55.0,731,4.26,4.28,2.65,0
35014,0.4,63.8,56.0,882,4.74,4.7,3.01,0
32984,0.37,59.1,60.0,811,4.66,4.68,2.76,0
47273,0.5,62.4,54.0,1844,5.1,5.13,3.19,0
1415,0.9,62.4,57.0,2968,6.16,6.13,3.84,0
51378,0.7,63.7,58.0,2367,5.6,5.64,3.58,0
43204,0.42,61.4,56.0,1395,4.84,4.86,2.98,0
44723,0.48,61.9,55.0,1615,5.02,5.06,3.12,0
42858,0.53,59.1,59.0,1356,5.33,5.26,3.13,0
52992,0.7,64.5,61.0,2595,5.43,5.52,3.53,0
9512,1.22,63.8,57.0,4612,6.77,6.72,4.3,1
18020,1.13,61.6,57.0,7290,6.7,6.68,4.12,2
21524,1.11,61.0,57.0,9625,6.65,6.7,4.08,2
7889,1.0,62.2,59.0,4312,6.35,6.38,3.96,1
44894,0.5,63.4,58.0,1629,5.06,5.04,3.2,0
20650,1.27,62.5,57.0,8941,6.86,6.91,4.3,2
41428,0.53,63.2,54.0,1227,5.19,5.16,3.27,0
22066,1.5,63.3,58.0,10090,7.27,7.24,4.59,2
4647,0.9,63.7,64.0,3669,6.07,6.02,3.85,1
46476,0.29,55.8,60.0,1776,4.48,4.41,2.48,0
53328,0.74,61.9,56.0,2654,5.8,5.83,3.6,0
21087,1.05,62.1,54.0,9257,6.55,6.52,4.06,2
25670,1.5,59.5,58.0,14592,7.44,7.48,4.44,4
12767,1.14,62.2,58.0,5326,6.64,6.7,4.15,1
53678,0.56,61.7,56.0,2712,5.31,5.33,3.28,0
51646,0.26,61.4,56.0,545,4.13,4.15,2.54,0
44541,0.53,61.7,54.0,1604,5.23,5.2,3.22,0
35105,0.3,61.9,57.0,886,4.29,4.33,2.67,0
25981,2.01,60.1,59.0,15185,8.25,8.18,4.94,4
21613,1.22,59.3,58.0,9706,6.97,6.99,4.14,2
53116,0.7,62.5,59.0,2617,5.66,5.7,3.55,0
30523,0.31,60.7,57.0,733,4.37,4.4,2.66,0
23387,0.3,63.3,56.0,631,4.21,4.26,2.68,0
13824,1.04,64.9,58.0,5633,6.36,6.33,4.12,1
19802,1.0,61.9,57.0,8366,6.43,6.39,3.97,2
1775,0.72,61.8,56.0,3048,5.7,5.76,3.55,0
5674,0.8,62.4,55.0,3884,5.92,5.88,3.68,1
294,0.74,61.8,58.0,2797,5.77,5.81,3.58,0
2245,0.7,58.7,60.0,3148,5.79,5.83,3.41,0
47029,0.57,61.6,56.0,1819,5.38,5.34,3.3,0
34282,0.39,61.2,58.0,468,4.51,6.02,4.44,0
6130,1.21,60.8,58.0,3984,6.93,6.88,4.19,1
14712,0.3,61.9,59.0,605,4.28,4.32,2.66,0
35238,0.43,63.4,56.0,894,4.82,4.8,3.05,0
53594,0.76,64.8,57.0,2699,5.67,5.81,3.71,0
24189,2.09,61.3,59.0,12377,8.19,8.15,5.01,3
20635,1.2,63.3,59.0,8928,6.72,6.64,4.23,2
9503,1.03,61.6,54.0,4611,6.51,6.55,4.02,1
45107,0.5,62.5,57.0,1649,4.99,5.05,3.14,0
34253,0.33,61.9,56.0,856,4.44,4.48,2.76,0
49220,0.5,64.0,55.0,2081,5.08,5.05,3.24,0
51972,0.26,60.0,56.0,546,4.18,4.15,2.5,0
36168,0.32,60.9,57.0,929,4.4,4.44,2.69,0
14030,1.22,61.7,56.0,5703,6.83,6.91,4.24,1
18679,1.08,62.1,59.0,7637,6.59,6.54,4.08,2
47095,0.53,59.9,58.0,1825,5.29,5.26,3.16,0
38778,0.31,61.7,56.0,1046,4.36,4.33,2.68,0
30961,0.46,61.4,56.0,746,4.96,5.0,3.06,0
34149,0.33,61.9,57.0,854,4.44,4.41,2.74,0
17679,1.01,63.1,60.0,7127,6.39,6.35,4.02,1
30553,0.31,61.3,57.0,734,4.37,4.4,2.69,0
38219,0.43,62.3,57.0,1016,4.82,4.78,2.99,0
13471,1.07,61.7,54.0,5532,6.59,6.61,4.07,1
38655,0.42,62.0,55.0,1040,4.84,4.83,3.0,0
44303,0.56,62.5,58.0,1578,5.23,5.27,3.28,0
16625,1.38,62.1,60.0,6646,7.13,7.08,4.41,1
34429,0.3,60.9,57.0,863,4.35,4.39,2.66,0
53214,0.7,61.8,53.0,2635,5.7,5.75,3.54,0
12872,1.03,62.3,56.0,5364,6.46,6.44,4.02,1
33783,0.32,60.9,61.0,842,4.37,4.4,2.67,0
22717,1.64,61.4,57.0,10733,7.55,7.59,4.65,2
25796,1.52,61.1,56.0,14787,7.39,7.43,4.53,4
47049,0.54,61.1,57.0,1820,5.3,5.27,3.23,0
36089,0.44,62.2,58.0,926,4.83,4.88,3.02,0
33931,0.33,61.5,57.0,463,4.42,4.49,2.74,0
46154,0.5,62.3,55.0,1746,5.11,5.07,3.17,0
34515,0.33,61.7,54.0,868,4.47,4.48,2.76,0
32447,0.43,62.9,56.0,792,4.8,4.83,3.03,0
22864,2.0,60.9,54.0,10907,8.12,8.17,4.96,2
32960,0.32,61.4,55.0,461,4.4,4.46,2.72,0
12016,1.26,60.1,59.0,5151,7.0,6.91,4.18,1
12257,1.03,60.9,56.0,5206,6.52,6.59,3.99,1
2796,0.77,60.8,56.0,3260,5.95,5.9,3.6,0
52637,0.24,62.8,58.0,552,3.95,3.98,2.49,0
24263,1.51,63.1,55.0,12489,7.3,7.34,4.62,3
15005,1.22,59.3,59.0,6045,6.96,7.01,4.14,1
20016,0.3,60.8,61.0,421,4.25,4.3,2.6,0
11836,1.0,60.4,64.0,5096,6.39,6.3,3.83,1
51091,0.73,62.2,54.0,2335,5.76,5.78,3.59,0
38824,0.5,63.5,56.0,1048,5.02,5.06,3.2,0
14768,1.01,61.4,59.0,5944,6.42,6.48,3.96,1
22436,1.2,62.2,53.0,10463,6.8,6.84,4.24,2
8670,1.04,61.4,57.0,4455,6.54,6.48,4.0,1
24002,1.74,58.6,59.0,12168,7.99,7.87,4.65,3
15562,1.01,59.9,59.0,6239,6.48,6.51,3.89,1
38326,0.5,61.3,58.0,1020,5.1,5.12,3.13,0
30543,0.31,62.5,56.0,734,4.29,4.32,2.69,0
17249,1.01,60.4,58.0,6905,6.47,6.57,3.94,1
33625,0.33,61.3,56.0,463,4.44,4.47,2.73,0
15514,1.02,61.9,62.0,6215,6.47,6.38,3.98,1
40910,0.42,63.6,55.0,1179,4.75,4.78,3.03,0
36943,0.35,61.5,56.0,478,4.56,4.58,2.81,0
5654,0.9,62.5,62.0,3881,6.11,6.08,3.81,1
53002,0.7,60.4,60.0,2596,5.79,5.74,3.48,0
4412,1.01,58.8,58.0,3610,6.52,6.57,3.85,1
38172,0.42,61.7,57.0,1014,4.78,4.81,2.96,0
41113,0.51,64.1,54.0,1195,5.02,5.0,3.21,0
53553,0.78,60.9,55.0,2694,5.94,5.98,3.63,0
25047,0.3,63.5,59.0,641,4.22,4.19,2.67,0
13969,1.11,62.6,57.0,5688,6.64,6.59,4.14,1
19605,1.02,61.0,56.0,8225,6.53,6.51,3.98,2
26680,0.3,59.5,60.0,427,4.39,4.45,2.63,0
45997,0.54,61.8,56.0,1724,5.21,5.26,3.24,0
43219,0.4,62.6,56.0,1397,4.73,4.7,2.95,0
43007,0.57,60.5,57.0,1369,5.4,5.37,3.26,0
41340,0.42,61.3,56.0,1216,4.81,4.85,2.96,0
41779,0.35,61.5,57.0,1247,4.55,4.52,2.79,0
24240,1.15,60.9,56.0,12447,6.79,6.8,4.14,3
36214,0.36,61.6,56.0,932,4.59,4.56,2.82,0
578,0.53,61.4,57.0,2834,5.2,5.23,3.2,0
12947,1.11,62.7,56.0,5386,6.65,6.59,4.15,1
34982,0.34,62.9,58.0,880,4.46,4.44,2.8,0
8801,1.0,63.8,55.0,4474,6.34,6.31,4.03,1
35879,0.32,61.0,56.0,918,4.41,4.44,2.7,0
18990,1.03,59.6,59.0,7817,6.59,6.57,3.92,2
52512,0.73,61.7,58.0,2527,5.74,5.7,3.53,0
18410,1.5,63.2,58.0,7484,7.26,7.21,4.57,2
51059,0.7,63.5,57.0,2331,5.68,5.66,3.6,0
22973,1.52,61.6,58.0,11021,7.41,7.37,4.55,3
21237,1.71,62.4,61.0,9384,7.67,7.59,4.76,2
18325,1.21,62.2,58.0,7454,6.88,6.78,4.25,2
24358,1.53,61.9,56.0,12621,7.45,7.32,4.57,3
2644,0.81,60.4,57.0,3231,6.02,6.06,3.65,0
37679,0.42,62.1,57.0,992,4.8,4.76,2.97,0
8580,1.13,60.0,61.0,4437,6.71,6.78,4.05,1
39220,0.58,59.0,61.0,1066,5.45,5.42,3.21,0
50048,0.9,62.4,63.0,2200,6.13,6.01,3.79,0
20018,0.32,61.0,59.0,421,4.36,4.42,2.68,0
27685,3.01,59.7,58.0,18710,9.41,9.32,5.59,4
8688,1.07,62.1,57.0,4458,6.53,6.49,4.04,1
5540,0.73,62.2,56.0,3856,5.72,5.75,3.57,1
8587,1.01,62.1,60.0,4439,6.43,6.39,3.98,1
958,0.8,63.8,59.0,2890,5.87,5.83,3.73,0
53160,0.72,60.4,59.0,2626,5.74,5.78,3.48,0
48820,0.72,62.2,58.0,2028,5.68,5.73,3.55,0
2072,0.9,63.3,59.0,3107,6.12,6.07,3.86,0
19641,2.04,59.3,61.0,8257,8.25,8.3,4.91,2
37962,0.41,62.4,60.0,1007,4.71,4.77,2.96,0
37888,0.33,61.3,55.0,1006,4.46,4.48,2.74,0
1668,0.72,60.1,63.0,3024,5.86,5.82,3.51,0
34872,0.3,63.8,57.0,878,4.26,4.24,2.71,0
22622,1.7,61.9,62.0,10680,7.52,7.58,4.67,2
26683,0.33,62.2,54.0,427,4.44,4.46,2.77,0
36333,0.32,61.7,59.0,936,4.41,4.37,2.71,0
16565,1.01,62.8,59.0,6618,6.37,6.34,3.99,1
8464,1.03,62.0,58.0,4414,6.43,6.51,4.01,1
49482,0.55,62.6,56.0,2116,5.24,5.27,3.29,0
26208,1.89,62.7,58.0,15594,7.75,7.81,4.88,4
1174,0.7,61.8,57.0,2929,5.68,5.71,3.52,0
19217,2.01,61.7,63.0,7959,7.91,7.94,4.89,2
41065,0.52,61.5,60.0,1191,5.15,5.16,3.17,0
9465,0.9,63.5,61.0,4601,6.09,6.16,3.89,1
43831,0.59,61.2,57.0,1445,5.4,5.42,3.31,0
2891,0.91,63.0,58.0,3282,6.15,6.07,3.85,0
13072,1.18,61.3,55.6,5412,6.79,6.84,4.18,1
18547,1.25,59.3,57.0,7560,7.11,7.05,4.2,2
14205,1.01,61.9,56.0,5759,6.33,6.41,3.94,1
31063,0.27,63.9,57.0,752,4.1,4.07,2.61,0
50797,0.71,63.6,56.0,2306,5.65,5.7,3.61,0
42059,0.56,61.9,54.0,1270,5.3,5.33,3.29,0
35587,0.41,63.4,56.0,907,4.76,4.73,3.01,0
22771,1.7,59.3,58.0,10796,7.72,7.77,4.59,2
16951,1.01,64.0,56.0,6771,6.22,6.37,4.03,1
22365,0.31,62.1,55.0,628,4.35,4.32,2.69,0
7866,1.0,62.5,59.0,4308,6.31,6.37,3.96,1
41145,0.5,62.5,64.0,1197,4.93,4.99,3.1,0
42829,0.59,59.8,58.0,1355,5.48,5.43,3.26,0
497,0.7,60.2,60.0,2822,5.82,5.75,3.48,0
27430,2.51,58.4,62.0,18037,8.87,8.79,5.15,4
17542,1.32,61.7,59.0,7059,7.03,7.06,4.35,1
38425,0.51,58.6,59.0,1026,5.3,5.25,3.09,0
4327,1.01,66.7,64.0,3597,6.14,6.05,4.06,1
34110,0.33,59.4,59.0,853,4.49,4.54,2.68,0
50333,0.61,61.6,54.0,2242,5.45,5.49,3.37,0
51033,0.73,59.0,61.0,2329,5.84,5.88,3.46,0
23993,1.52,61.2,55.0,12153,7.4,7.43,4.54,3
821,0.83,61.6,58.0,2865,6.05,6.07,3.73,0
44365,0.56,62.0,56.0,1580,5.26,5.29,3.27,0
53376,0.61,61.5,56.0,2660,5.44,5.49,3.36,0
21622,1.06,61.0,57.0,9712,6.63,6.54,4.02,2
14499,1.23,62.0,57.0,5855,6.91,6.87,4.27,1
15059,0.3,61.6,58.0,605,4.29,4.31,2.65,0
44193,0.51,62.1,58.0,1569,5.09,5.12,3.17,0
16135,1.01,61.9,58.0,6449,6.37,6.43,3.96,1
45169,0.73,62.8,58.0,1654,5.77,5.71,3.6,0
44806,0.5,60.7,60.0,1624,5.09,5.12,3.1,0
11215,0.9,62.5,58.0,4961,6.1,6.15,3.83,1
21025,1.51,62.4,56.0,9234,7.29,7.25,4.54,2
12991,1.02,63.2,59.0,5398,6.38,6.35,4.02,1
2810,0.72,61.1,56.0,3265,5.76,5.79,3.53,0
12813,1.04,59.6,58.0,5344,6.63,6.55,3.93,1
50022,0.61,60.0,65.0,2196,5.53,5.47,3.3,0
42674,0.53,59.9,60.0,1335,5.24,5.28,3.15,0
24128,2.09,60.1,63.0,12295,8.21,8.16,4.92,3
4718,0.24,62.7,54.0,572,3.99,4.02,2.51,0
1274,0.72,62.3,55.0,2949,5.72,5.74,3.57,0
28202,0.4,62.6,58.0,666,4.68,4.72,2.94,0
24429,1.7,61.4,58.0,12681,7.67,7.63,4.7,3
11465,1.09,63.6,56.0,5010,6.56,6.53,4.16,1
18908,1.52,59.9,57.0,7759,7.45,7.47,4.47,2
33462,0.32,59.4,58.0,828,4.48,4.44,2.65,0
14157,1.03,61.2,58.0,5744,6.52,6.55,4.0,1
33682,0.31,61.3,57.0,837,4.4,4.34,2.68,0
20405,1.51,62.5,59.0,8770,7.29,7.34,4.57,2
9223,1.03,60.6,60.0,4557,6.53,6.5,3.95,1
5262,0.9,62.3,57.0,3794,6.16,6.19,3.85,1
21576,1.6,62.1,56.0,9681,7.47,7.51,4.65,2
12368,0.26,59.9,58.0,597,4.17,4.18,2.5,0
13354,0.24,62.1,58.0,419,4.0,4.02,2.49,0
22602,1.51,63.2,57.0,10655,7.4,7.28,4.62,2
11227,1.02,63.6,58.0,4964,6.34,6.39,4.05,1
41795,0.49,57.5,68.0,1249,5.18,5.11,2.96,0
3134,0.74,63.2,56.0,3328,5.74,5.72,3.62,0
22491,1.57,60.5,57.0,10521,7.6,7.57,4.59,2
16460,1.2,61.9,56.0,6578,6.78,6.82,4.21,1
36912,0.41,62.2,58.0,961,4.74,4.71,2.94,0
36352,0.4,63.1,59.0,938,4.68,4.64,2.94,0
33550,0.35,62.5,56.0,830,4.51,4.55,2.83,0
21333,1.53,58.4,59.0,9476,7.62,7.55,4.43,2
30411,0.32,61.7,59.0,730,4.37,4.41,2.71,0
40011,0.41,61.8,57.0,1107,4.78,4.73,2.94,0
41194,0.47,60.5,59.4,1203,5.03,5.08,3.06,0
6191,0.92,60.3,56.0,3997,6.32,6.35,3.82,1
48813,0.7,59.9,57.0,2026,5.75,5.8,3.46,0
9313,1.06,61.0,57.0,4578,6.56,6.61,4.02,1
22595,1.5,61.7,55.0,10646,7.32,7.39,4.54,2
39384,0.4,63.7,59.0,1075,4.66,4.69,2.98,0
13292,1.2,63.7,56.0,5490,6.66,6.71,4.26,1
13704,1.51,57.5,59.0,5601,7.56,7.51,4.33,1
5441,0.91,63.0,57.0,3830,6.14,6.2,3.89,1
42650,0.4,59.8,58.0,1333,4.79,4.85,2.88,0
33798,0.32,61.1,53.0,842,4.4,4.44,2.7,0
4838,0.9,63.0,60.0,3709,6.15,6.17,3.88,1
43866,0.5,62.0,56.0,1449,5.09,5.11,3.16,0
47949,0.31,60.5,57.0,1917,4.39,4.41,2.66,0
47521,0.54,62.2,55.0,1868,5.22,5.27,3.26,0
7119,1.01,61.7,58.0,4171,6.33,6.4,3.93,1
5436,1.05,60.1,60.0,3828,6.58,6.66,3.98,1
31233,0.42,63.0,55.0,756,4.76,4.79,3.01,0
51409,0.79,62.8,57.0,2370,5.91,5.88,3.7,0
50229,0.82,63.4,55.0,2232,5.96,5.93,3.77,0
37632,0.4,61.1,58.0,990,4.75,4.74,2.9,0
540,0.7,62.3,55.0,2827,5.66,5.7,3.54,0
44415,0.52,61.0,55.0,1586,5.19,5.23,3.18,0
36944,0.26,62.1,55.0,478,4.09,4.12,2.55,0
7669,1.11,61.9,59.0,4273,6.58,6.64,4.09,1
4917,0.7,63.0,59.0,3725,5.58,5.62,3.53,1
8630,1.13,60.4,56.0,4449,6.78,6.72,4.08,1
12468,1.2,59.9,59.0,5250,6.92,6.98,4.16,1
45159,0.5,62.2,57.0,1654,5.11,5.08,3.17,0
12188,1.15,61.8,61.0,5186,6.62,6.69,4.11,1
13166,1.07,61.9,55.0,5444,6.62,6.57,4.08,1
39021,0.43,61.0,57.0,1056,4.84,4.89,2.97,0
25882,2.01,62.5,53.9,14998,8.04,8.07,5.04,4
53269,0.82,62.6,59.0,2648,5.91,5.87,3.69,0
26456,1.5,62.8,53.5,15996,7.27,7.33,4.58,4
34350,0.42,62.0,59.0,862,4.83,4.78,2.98,0
7566,0.72,62.0,56.0,4252,5.73,5.75,3.56,1
48496,0.56,61.7,55.1,1981,5.29,5.33,3.27,0
13011,1.23,62.2,57.0,5407,6.89,6.81,4.26,1
7497,1.04,61.4,57.0,4240,6.52,6.47,3.99,1
41664,0.51,63.3,56.0,1239,5.12,5.08,3.23,0
25195,2.07,62.0,58.0,13786,8.17,8.09,5.04,3
18269,1.44,62.1,55.0,7419,7.25,7.2,4.49,2
49405,0.5,59.1,61.0,2106,5.19,5.23,3.08,0
25614,1.51,62.1,55.0,14482,7.38,7.33,4.56,4
29290,0.31,62.1,54.0,436,4.37,4.39,2.72,0
19533,1.5,62.7,59.0,8167,7.22,7.3,4.55,2
25312,2.07,62.7,58.0,13993,8.14,8.09,5.09,3
49280,0.6,61.3,60.0,2091,5.39,5.41,3.31,0
35200,0.46,63.7,58.0,891,4.84,4.9,3.1,0
22766,1.26,61.1,57.0,10787,7.02,6.98,4.28,2
39811,0.39,61.8,55.0,1097,4.68,4.75,2.92,0
19650,1.31,61.8,57.0,8261,7.02,7.06,4.35,2
9201,1.01,63.0,57.0,4549,6.36,6.4,4.02,1
24307,2.11,60.7,60.0,12554,8.27,8.2,5.0,3
29255,0.32,61.4,55.0,698,4.4,4.46,2.72,0
38232,0.4,62.7,59.0,1017,4.74,4.7,2.96,0
3716,0.82,61.9,57.0,3453,5.99,5.96,3.7,0
2456,1.01,62.4,60.0,3190,6.45,6.35,3.99,0
32061,0.33,60.0,59.0,780,4.5,4.47,2.69,0
25814,1.62,61.1,60.0,14826,7.56,7.57,4.62,4
12476,1.33,57.4,62.0,5251,7.3,7.23,4.17,1
35570,0.35,60.5,57.0,906,4.6,4.52,2.76,0
25406,2.01,61.7,59.0,14125,8.01,8.09,4.97,4
38440,0.38,62.4,56.0,1027,4.63,4.69,2.91,0
18706,0.27,62.0,59.0,620,4.14,4.18,2.58,0
7305,0.96,59.3,58.0,4204,6.49,6.43,3.83,1
17670,1.15,62.7,57.0,7123,6.68,6.64,4.17,1
10524,1.01,60.0,58.0,4805,6.55,6.51,3.92,1
33690,0.34,60.8,58.0,838,4.51,4.53,2.75,0
17979,1.07,61.7,56.0,7273,6.56,6.68,4.06,2
51429,0.63,62.1,55.0,2373,5.5,5.52,3.42,0
41323,0.65,61.9,54.0,1214,5.6,5.62,3.47,0
12392,1.21,60.4,54.0,5232,6.86,6.89,4.15,1
17169,1.08,62.4,55.0,6856,6.53,6.57,4.09,1
3446,1.0,68.7,55.0,3387,6.06,5.88,4.11,0
24186,1.55,62.1,54.0,12373,7.42,7.45,4.61,3
50606,0.61,61.7,55.0,2285,5.45,5.47,3.37,0
36212,0.36,61.7,59.0,932,4.59,4.55,2.82,0
13422,0.9,63.4,58.0,5511,6.15,6.09,3.88,1
32675,0.31,62.4,59.0,802,4.34,4.32,2.7,0
439,0.9,65.0,56.0,2815,6.08,6.04,3.94,0
30937,0.24,62.0,57.0,449,4.0,4.03,2.49,0
20152,1.22,62.5,57.0,8608,6.82,6.77,4.25,2
