,carat,depth,table,price,x,y,z,y_train
19854,1.2,62.8,54.0,8414,6.75,6.79,4.25,2
24216,1.67,61.9,57.0,12406,7.56,7.59,4.69,3
53214,0.7,61.8,53.0,2635,5.7,5.75,3.54,0
42626,0.32,60.6,58.0,505,4.44,4.47,2.7,0
25827,1.18,61.1,56.0,14847,6.78,6.91,4.18,4
14149,1.25,62.2,58.0,5740,6.92,6.88,4.29,1
9742,1.2,61.7,56.0,4659,6.79,6.87,4.21,1
38917,0.33,61.8,55.0,1052,4.48,4.45,2.76,0
30794,0.3,62.3,54.0,742,4.31,4.36,2.7,0
39447,0.53,62.6,56.0,1077,5.28,5.1,3.25,0
13889,1.01,63.2,58.0,5654,6.28,6.34,3.99,1
28044,0.33,62.9,54.0,660,4.4,4.44,2.78,0
23894,1.57,60.3,57.0,11998,7.55,7.6,4.57,3
40960,0.42,61.2,56.0,1179,4.85,4.86,2.97,0
17033,1.0,62.6,57.0,6804,6.4,6.35,3.99,1
14900,1.02,62.3,59.0,5998,6.42,6.38,3.99,1
33103,0.32,61.2,56.0,816,4.39,4.43,2.7,0
23843,2.01,63.3,59.0,11925,7.98,7.89,5.02,3
41495,0.41,59.9,60.0,1233,4.8,4.82,2.88,0
3966,1.03,61.1,55.0,3507,6.54,6.51,3.99,0
828,0.71,62.9,57.0,2867,5.67,5.69,3.57,0
18194,1.51,61.7,65.0,7384,7.31,7.38,4.53,2
16721,0.32,60.9,56.0,610,4.41,4.45,2.7,0
53619,0.3,61.1,57.0,552,4.32,4.36,2.65,0
25800,2.01,63.5,59.0,14792,8.03,7.93,5.07,4
11696,1.25,62.6,54.0,5067,6.94,6.9,4.33,1
4136,0.95,61.0,61.0,3544,6.29,6.37,3.86,1
40452,0.31,60.7,57.0,1140,4.41,4.39,2.67,0
21405,1.5,62.7,59.0,9519,7.19,7.26,4.53,2
23439,1.7,60.8,59.0,11431,7.76,7.83,4.75,3
53422,0.71,60.3,60.0,2671,5.76,5.81,3.49,0
12095,1.09,61.2,60.0,5164,6.6,6.64,4.05,1
3881,0.9,63.5,57.0,3484,6.06,6.03,3.84,0
29552,0.25,62.3,56.0,705,4.01,4.03,2.5,0
35932,0.35,61.9,61.0,919,4.54,4.5,2.8,0
16176,1.03,60.4,56.0,6467,6.59,6.56,3.97,1
41828,0.46,62.1,57.0,1251,4.93,4.89,3.05,0
44653,0.35,61.3,56.0,522,4.54,4.56,2.79,0
5256,0.9,63.9,61.0,3792,6.01,5.97,3.83,1
51868,0.56,57.3,60.0,2426,5.5,5.57,3.17,0
21474,1.32,62.1,55.0,9572,6.98,7.03,4.35,2
8618,1.01,62.0,60.0,4445,6.36,6.41,3.96,1
45738,0.62,62.4,58.0,1700,5.42,5.47,3.4,0
40150,0.35,60.7,57.0,1116,4.57,4.53,2.76,0
27788,0.37,62.7,54.0,649,4.55,4.6,2.87,0
29194,0.4,62.4,54.0,694,4.72,4.74,2.95,0
12559,1.01,59.8,61.0,5277,6.45,6.49,3.87,1
26507,1.2,61.9,56.0,16130,6.81,6.83,4.22,4
51346,0.96,62.0,56.0,2363,6.3,6.34,3.92,0
18680,1.55,62.5,58.0,7638,7.4,7.36,4.61,2
34769,0.41,62.1,58.0,876,4.77,4.73,2.95,0
11361,1.0,61.8,57.0,4995,6.39,6.42,3.96,1
5847,1.0,63.3,56.0,3920,6.38,6.29,4.01,1
27056,0.28,61.5,58.0,646,4.22,4.17,2.58,0
30133,0.32,61.5,60.0,720,4.39,4.36,2.69,0
754,0.9,63.1,58.0,2857,6.08,6.02,3.82,0
42294,0.36,63.7,54.0,505,4.52,4.55,2.89,0
1213,0.73,60.7,57.0,2939,5.76,5.83,3.52,0
27660,2.01,63.3,55.0,18640,7.87,7.94,5.0,4
53540,0.9,72.9,54.0,2691,5.74,5.67,4.16,0
40855,0.49,58.6,60.0,1174,5.14,5.2,3.03,0
18172,1.01,63.4,58.0,7366,6.38,6.36,4.04,2
24313,1.21,61.1,57.0,12556,6.87,6.91,4.21,3
29584,0.31,62.2,53.0,706,4.37,4.41,2.73,0
5274,0.73,61.4,55.0,3797,5.8,5.83,3.57,1
40676,0.5,64.0,56.0,1155,5.03,4.97,3.2,0
27695,0.4,62.1,57.0,648,4.72,4.75,2.94,0
3918,1.02,61.2,57.0,3496,6.58,6.43,3.98,0
7930,0.84,60.4,62.0,4318,6.1,6.15,3.7,1
18245,1.01,60.9,58.0,7411,6.43,6.47,3.93,2
34353,0.43,62.9,56.0,863,4.77,4.8,3.01,0
21000,1.1,60.5,56.0,9215,6.76,6.7,4.07,2
23431,1.53,62.3,58.0,11421,7.35,7.3,4.56,3
18208,1.02,62.9,60.0,7389,6.42,6.37,4.02,2
7882,0.9,62.4,54.0,4309,6.22,6.19,3.87,1
7529,1.01,59.9,59.0,4242,6.55,6.48,3.9,1
49197,0.58,62.0,57.0,2078,5.33,5.34,3.31,0
28393,0.33,62.2,57.0,668,4.46,4.42,2.76,0
53921,0.7,62.8,60.0,2755,5.59,5.65,3.53,0
42054,0.38,60.7,57.0,1270,4.69,4.74,2.86,0
23742,2.0,59.8,60.0,11792,8.09,8.13,4.85,3
49669,0.7,63.8,57.0,2142,5.66,5.63,3.6,0
11838,1.2,61.4,57.0,5098,6.87,6.8,4.2,1
24268,1.36,61.6,56.0,12494,7.08,7.17,4.39,3
11768,1.0,61.1,60.0,5082,6.42,6.47,3.94,1
31813,0.43,61.0,58.0,774,4.83,4.88,2.96,0
29526,0.38,61.5,53.9,703,4.66,4.7,2.89,0
412,0.3,62.3,56.0,555,4.29,4.31,2.68,0
1077,0.31,62.8,58.0,558,4.32,4.28,2.7,0
18507,1.1,61.9,57.0,7540,6.63,6.57,4.09,2
43950,0.31,62.7,58.0,516,4.31,4.33,2.71,0
37623,0.44,62.2,58.0,990,4.88,4.83,3.02,0
1780,0.72,62.6,54.0,3048,5.78,5.72,3.6,0
23694,2.02,59.2,60.0,11757,8.27,8.39,4.91,3
35884,0.32,61.0,57.0,918,4.41,4.44,2.7,0
45059,0.59,59.1,61.0,1641,5.61,5.53,3.29,0
8944,1.12,62.9,58.0,4498,6.55,6.62,4.14,1
51042,0.7,64.2,58.0,2330,5.58,5.61,3.59,0
35328,0.4,63.2,56.0,898,4.69,4.74,2.98,0
40887,0.56,61.7,58.0,1176,5.31,5.29,3.27,0
18417,1.24,62.4,59.0,7486,6.86,6.82,4.27,2
33957,0.23,60.1,57.0,465,4.0,4.02,2.41,0
40126,0.41,62.3,56.0,1115,4.73,4.77,2.96,0
23021,0.35,61.7,57.0,630,4.56,4.52,2.8,0
33807,0.32,62.4,55.0,842,4.37,4.38,2.73,0
27713,0.36,62.3,57.0,648,4.58,4.54,2.84,0
18627,1.02,62.6,59.0,7602,6.41,6.46,4.03,2
46347,0.9,66.9,63.0,1758,6.04,5.91,4.0,0
47451,0.53,61.7,55.0,1857,5.21,5.23,3.22,0
51067,0.7,61.0,55.0,2332,5.76,5.78,3.52,0
44784,0.5,61.2,63.0,1623,5.14,5.09,3.13,0
3228,0.72,61.2,57.0,3352,5.76,5.77,3.53,0
43272,0.3,63.4,57.0,506,4.25,4.23,2.69,0
12991,1.02,63.2,59.0,5398,6.38,6.35,4.02,1
43999,0.3,59.7,57.0,394,4.37,4.4,2.62,0
6101,0.91,61.8,60.0,3975,6.21,6.18,3.83,1
36272,0.3,61.4,57.0,477,4.28,4.32,2.64,0
123,0.7,64.5,57.0,2762,5.57,5.53,3.58,0
45437,0.51,59.5,63.0,1671,5.22,5.17,3.09,0
44756,0.51,62.8,57.0,1619,5.1,5.06,3.19,0
31962,0.43,62.0,59.0,452,4.78,4.83,2.98,0
28326,0.33,61.9,58.0,666,4.43,4.46,2.75,0
42751,0.51,62.0,56.0,1343,5.11,5.18,3.19,0
6476,0.9,62.4,62.0,4054,6.13,6.17,3.84,1
7955,1.07,62.9,59.0,4321,6.51,6.58,4.12,1
4369,1.16,62.8,57.0,3605,6.8,6.64,4.22,1
17088,1.2,63.1,55.0,6814,6.82,6.77,4.29,1
37217,0.38,62.4,64.0,975,4.61,4.59,2.87,0
25601,1.58,60.1,60.0,14453,7.53,7.54,4.53,4
11033,0.91,62.1,57.0,4919,6.18,6.21,3.85,1
13186,1.24,62.8,56.0,5451,6.83,6.8,4.28,1
8791,1.03,62.1,57.0,4470,6.44,6.42,3.99,1
29445,0.41,62.5,58.0,702,4.74,4.77,2.97,0
46565,0.53,60.9,57.0,1783,5.17,5.24,3.17,0
23053,1.53,60.1,58.0,11087,7.6,7.57,4.71,3
17643,1.01,63.2,58.0,7107,6.32,6.34,4.0,1
18947,1.29,61.4,61.0,7790,7.0,6.97,4.29,2
8581,0.91,60.4,59.0,4437,6.22,6.26,3.77,1
38429,0.38,62.2,57.0,1026,4.63,4.6,2.87,0
32611,0.32,61.3,56.0,456,4.42,4.45,2.72,0
42372,0.57,61.6,60.0,1304,5.33,5.35,3.29,0
22345,1.7,61.9,56.0,10396,7.55,7.5,4.66,2
47647,0.23,61.9,57.0,530,3.93,3.96,2.44,0
49240,0.65,62.9,58.0,2085,5.51,5.53,3.47,0
29555,0.4,62.1,55.0,705,4.73,4.77,2.95,0
20195,1.02,62.0,57.0,8637,6.49,6.44,4.01,2
11000,1.17,63.6,61.0,4914,6.66,6.64,4.23,1
45328,0.32,61.2,58.0,524,4.37,4.42,2.69,0
31351,0.41,61.2,56.0,760,4.81,4.84,2.95,0
8939,1.01,62.6,60.0,4497,6.37,6.35,3.98,1
4,0.31,63.3,58.0,335,4.34,4.35,2.75,0
1169,0.9,59.5,60.0,2927,6.32,6.29,3.75,0
19866,2.68,58.6,60.0,8419,9.11,9.07,5.33,2
24059,0.26,61.7,56.0,635,4.09,4.11,2.53,0
39014,0.43,61.9,55.0,1056,4.84,4.86,3.0,0
41169,0.38,61.3,55.0,1200,4.67,4.72,2.88,0
32274,0.3,60.5,59.0,789,4.33,4.36,2.63,0
48867,0.52,62.9,57.0,2035,5.11,5.13,3.22,0
42299,0.32,62.7,54.0,505,4.39,4.41,2.76,0
29828,0.42,61.5,59.0,710,4.81,4.85,2.97,0
29522,0.38,61.9,54.1,703,4.64,4.71,2.89,0
46078,0.57,61.6,55.0,1737,5.35,5.37,3.3,0
30075,0.32,60.1,60.0,720,4.47,4.42,2.67,0
28789,0.37,61.0,62.0,681,4.61,4.64,2.82,0
49698,0.71,62.8,58.0,2147,5.63,5.7,3.56,0
21976,1.5,60.5,63.0,10046,7.42,7.35,4.48,2
17542,1.32,61.7,59.0,7059,7.03,7.06,4.35,1
43584,0.5,63.7,57.0,1431,5.05,4.9,3.17,0
36061,0.31,61.5,58.0,924,4.35,4.37,2.68,0
17747,1.12,61.2,58.0,7145,6.65,6.68,4.08,1
44693,0.57,61.3,57.0,1612,5.35,5.39,3.29,0
11189,1.18,61.6,57.0,4956,6.81,6.73,4.17,1
37786,0.38,61.9,56.0,1000,4.63,4.67,2.88,0
19733,1.52,60.9,57.0,8299,7.5,7.44,4.55,2
15788,1.26,61.9,58.0,6318,6.97,6.92,4.3,1
49333,0.79,63.9,55.0,2095,5.85,5.8,3.72,0
49738,0.77,62.9,58.0,2155,5.83,5.87,3.68,0
20613,1.01,63.3,58.0,8912,6.39,6.31,4.02,2
10045,0.31,62.5,56.0,418,4.29,4.35,2.7,0
1236,0.7,60.8,56.0,2942,5.78,5.79,3.52,0
52805,1.3,66.5,58.0,2571,6.79,6.75,4.5,0
38939,0.4,60.3,58.0,1053,4.8,4.82,2.9,0
24538,1.51,65.0,58.0,12829,7.06,7.12,4.61,3
42863,0.52,61.5,56.0,1357,5.19,5.16,3.18,0
14722,0.3,62.0,58.0,605,4.3,4.35,2.68,0
35764,0.4,62.0,57.0,912,4.66,4.7,2.9,0
36223,0.36,62.7,57.0,933,4.58,4.55,2.86,0
21195,1.51,61.1,60.0,9343,7.27,7.37,4.47,2
26814,2.02,62.2,57.0,16704,8.1,8.04,5.02,4
4384,0.31,62.0,54.0,571,4.34,4.37,2.7,0
25758,1.51,60.7,60.0,14709,7.37,7.46,4.5,4
13330,1.21,62.2,59.0,5502,6.79,6.85,4.24,1
45573,0.52,62.7,56.0,1689,5.14,5.16,3.23,0
11894,1.2,59.7,59.0,5116,6.89,6.94,4.13,1
16151,1.22,62.8,55.0,6456,6.87,6.79,4.29,1
3963,1.01,61.8,54.0,3507,6.47,6.42,3.98,0
39786,0.39,59.9,59.0,1095,4.73,4.75,2.84,0
39515,0.32,61.6,57.0,1080,4.43,4.4,2.72,0
33994,0.42,62.0,58.0,847,4.77,4.81,2.97,0
8576,1.0,60.3,62.0,4435,6.52,6.43,3.91,1
22575,1.4,61.5,60.0,10625,7.25,7.18,4.44,2
9519,1.14,63.3,57.0,4615,6.6,6.63,4.19,1
32084,0.33,60.9,55.0,781,4.47,4.5,2.73,0
4058,0.36,61.4,55.0,571,4.61,4.64,2.84,0
22774,1.01,61.6,58.0,10797,6.44,6.39,3.95,2
19709,0.41,61.4,54.0,625,4.81,4.83,2.96,0
22183,1.52,62.3,58.0,10221,7.35,7.31,4.57,2
51934,0.72,62.5,57.0,2440,5.65,5.74,3.56,0
42844,0.41,61.7,57.0,1356,4.8,4.77,2.95,0
32619,0.3,62.3,55.0,457,4.3,4.34,2.69,0
20145,1.2,62.4,58.0,8602,6.82,6.8,4.25,2
16142,1.28,62.5,61.0,6451,6.89,6.86,4.3,1
11369,1.13,56.5,62.0,4998,6.93,6.88,3.9,1
40749,0.4,61.7,55.0,1163,4.76,4.74,2.93,0
12910,1.09,62.1,55.0,5376,6.6,6.64,4.11,1
2684,0.77,60.9,55.0,3243,5.9,5.96,3.61,0
36353,0.5,58.6,63.0,938,5.23,5.15,3.04,0
7679,1.18,61.3,60.0,4274,6.83,6.78,4.17,1
102,0.74,61.6,55.0,2760,5.8,5.85,3.59,0
53575,0.7,62.7,56.0,2697,5.73,5.63,3.56,0
10049,0.31,62.3,58.0,418,4.35,4.38,2.72,0
2067,0.32,61.9,56.0,561,4.39,4.43,2.73,0
36802,0.3,61.4,57.0,956,4.37,4.33,2.67,0
53689,0.55,60.6,57.0,2716,5.33,5.36,3.24,0
23339,1.01,62.6,58.0,11387,6.37,6.44,4.01,3
41527,0.42,60.2,59.0,1235,4.84,4.82,2.91,0
4643,0.91,62.8,58.0,3669,6.16,6.13,3.86,1
32813,0.34,62.9,55.0,805,4.43,4.47,2.8,0
26004,2.02,61.9,58.0,15231,8.06,8.1,5.0,4
11991,1.04,61.2,56.0,5145,6.54,6.6,4.02,1
25854,1.53,60.7,60.0,14931,7.38,7.52,4.52,4
46370,0.57,59.5,60.0,1760,5.44,5.35,3.21,0
21856,1.0,63.0,59.0,9918,6.38,6.35,4.01,2
24967,1.57,61.9,55.0,13462,7.53,7.47,4.64,3
28163,0.3,62.2,56.0,665,4.28,4.3,2.67,0
8337,1.01,62.3,60.0,4395,6.31,6.25,3.91,1
11755,1.01,62.7,56.0,5078,6.39,6.36,4.0,1
37518,0.41,60.2,62.0,986,4.8,4.84,2.9,0
30079,0.32,61.9,59.0,720,4.38,4.35,2.7,0
3101,0.71,61.2,57.0,3321,5.73,5.77,3.52,0
52265,0.74,62.3,60.0,2491,5.78,5.8,3.61,0
51414,0.77,58.1,63.0,2371,6.02,6.06,3.5,0
49370,0.7,61.2,57.0,2100,5.67,5.74,3.49,0
5855,0.7,61.5,63.0,3920,5.78,5.64,3.51,1
3403,0.4,64.0,56.0,567,4.66,4.69,2.99,0
40434,0.36,62.2,55.0,1137,4.57,4.62,2.86,0
28216,0.4,62.9,56.0,666,4.65,4.7,2.94,0
11635,1.11,61.7,54.0,5051,6.64,6.69,4.11,1
13878,1.14,61.4,56.0,5650,6.77,6.69,4.13,1
51772,0.71,59.6,59.0,2409,5.79,5.75,3.44,0
20236,1.01,57.7,62.0,8668,6.57,6.63,3.81,2
13691,1.01,61.9,56.0,5599,6.53,6.45,4.02,1
7112,0.8,61.0,57.0,4170,5.96,6.0,3.65,1
4283,1.0,60.9,61.0,3584,6.41,6.37,3.89,1
46604,0.54,61.5,56.0,1786,5.25,5.23,3.22,0
5198,0.9,62.7,58.0,3780,6.11,6.13,3.84,1
39199,0.43,61.1,59.0,1064,4.89,4.83,2.97,0
29636,0.23,61.0,57.0,442,3.97,4.01,2.44,0
27953,0.27,61.9,54.0,432,4.14,4.19,2.58,0
5423,1.01,62.6,59.0,3823,6.34,6.43,4.0,1
30662,0.4,62.5,59.0,737,4.67,4.71,2.93,0
38137,0.3,62.6,58.0,1013,4.29,4.27,2.68,0
35338,0.32,61.8,55.0,898,4.38,4.42,2.72,0
22057,1.74,62.3,57.0,10085,7.8,7.7,4.83,2
49049,0.51,62.3,58.0,2056,5.1,5.08,3.17,0
43155,0.5,64.9,59.0,1389,4.89,4.94,3.19,0
52471,0.71,61.7,56.0,2518,5.74,5.77,3.55,0
39329,0.35,63.0,59.0,1071,4.48,4.44,2.81,0
46548,0.51,62.4,57.0,1781,5.13,5.1,3.19,0
28153,0.3,62.3,57.0,665,4.26,4.28,2.66,0
24459,1.13,59.8,60.0,12722,6.82,6.76,4.06,3
38437,0.49,62.5,58.0,1026,5.03,4.98,3.13,0
49168,0.62,62.3,56.0,2073,5.43,5.46,3.39,0
46826,0.58,62.3,54.0,1809,5.43,5.39,3.37,0
17554,1.55,63.2,57.0,7066,7.35,7.31,4.64,1
16290,1.01,61.1,62.0,6517,6.39,6.5,3.94,1
42416,0.66,61.6,54.0,1311,5.62,5.64,3.47,0
42651,0.4,61.4,55.0,1333,4.76,4.79,2.93,0
53215,0.58,59.7,57.0,2636,5.48,5.51,3.28,0
24755,2.01,61.1,59.0,13109,8.04,8.07,4.92,3
48344,0.57,61.6,56.0,1961,5.32,5.35,3.28,0
9559,1.01,62.6,61.0,4622,6.36,6.39,3.99,1
30168,0.31,64.2,55.0,721,4.24,4.3,2.74,0
7348,0.79,62.4,60.0,4213,5.86,5.88,3.66,1
9688,1.17,63.1,56.0,4652,6.76,6.71,4.25,1
29319,0.31,62.4,55.0,698,4.36,4.33,2.71,0
36039,0.41,61.4,60.0,923,4.82,4.75,2.94,0
34573,0.31,61.9,56.0,871,4.33,4.35,2.68,0
18562,1.17,62.4,56.0,7568,6.76,6.71,4.2,2
53881,0.72,62.6,53.0,2746,5.76,5.78,3.61,0
34379,0.41,61.5,59.0,863,4.75,4.81,2.94,0
48212,0.76,59.9,59.0,1949,5.92,5.94,3.55,0
46493,0.52,62.0,57.0,1778,5.13,5.16,3.19,0
19584,1.22,61.8,58.0,8213,6.84,6.91,4.25,2
18105,1.41,62.7,56.0,7324,7.11,7.17,4.48,2
194,0.7,61.2,57.0,2777,5.73,5.68,3.49,0
12598,1.09,62.7,58.0,5287,6.51,6.56,4.1,1
36275,0.3,62.0,58.0,477,4.27,4.29,2.65,0
46937,0.52,60.3,60.0,1815,5.21,5.17,3.13,0
24840,2.33,63.9,60.0,13242,8.37,8.3,5.32,3
30675,0.4,61.3,59.0,737,4.69,4.74,2.89,0
35747,0.3,62.8,59.0,911,4.28,4.26,2.68,0
45034,0.54,56.9,62.0,1637,5.42,5.4,3.08,0
35878,0.32,61.9,54.0,918,4.4,4.42,2.73,0
26324,2.1,64.7,61.0,15827,7.97,7.92,5.14,4
8806,1.01,60.5,56.0,4475,6.43,6.49,3.91,1
36916,0.41,60.2,59.0,961,4.84,4.79,2.9,0
5225,0.69,61.6,56.0,3784,5.69,5.71,3.51,1
46163,0.5,61.4,57.0,1746,5.11,5.08,3.13,0
31830,0.34,61.8,57.0,775,4.44,4.46,2.75,0
48677,0.54,62.1,57.0,2004,5.19,5.22,3.23,0
44705,0.57,61.9,56.0,1613,5.33,5.3,3.29,0
22495,1.29,60.9,58.0,10530,7.01,6.97,4.26,2
31102,0.34,61.0,58.0,753,4.49,4.53,2.75,0
1629,0.81,61.0,56.0,3015,5.99,6.05,3.67,0
29471,0.32,62.1,56.0,702,4.4,4.43,2.74,0
10219,1.0,61.8,57.0,4743,6.39,6.43,3.96,1
34537,0.33,62.1,55.0,868,4.41,4.44,2.75,0
8992,1.22,62.1,59.0,4509,6.82,6.77,4.22,1
29313,0.31,61.4,56.0,698,4.39,4.37,2.69,0
19282,1.02,63.6,58.0,8005,6.4,6.37,4.06,2
11091,1.0,62.5,55.0,4928,6.43,6.38,4.0,1
15485,1.33,62.5,61.0,6203,6.99,7.02,4.38,1
17660,1.23,62.1,57.0,7117,6.9,6.83,4.26,1
3591,0.91,62.7,58.0,3423,6.14,6.17,3.86,0
13791,1.19,58.8,60.0,5622,6.93,6.98,4.09,1
38516,0.37,62.4,56.0,1033,4.6,4.64,2.88,0
